Administration - Usage,"Select when the question or issue concerns monitoring or understanding Sigma usage (e.g., activity metrics, seat usage, feature adoption, or usage reports)."
Audit Logging,"Select when the question or issue involves audit logs or event history (e.g., who viewed/changed what and when, or how to access/export audit information)."
Authentication,"Select when the question or issue is about how users sign in to Sigma (e.g., SSO, SAML, OAuth, password policies, or login failures)."
Chart - Legend,"Select when the question or issue specifically concerns chart legends (e.g., showing/hiding series, legend placement, labeling, or styling)."
Chart - Maps,"Select when the question or issue involves map-based visualizations (e.g., geographic data, map layers, regions, or map styling and behavior)."
Connections,"Select when the question or issue is about configuring, editing, or troubleshooting data connections (e.g., warehouses, databases, or connection credentials)."
Connection Exploration,"Select when the question or issue involves exploring schemas, tables, or objects within a connection (e.g., browsing data sources, discovering tables, or previewing structures)."
CSV Upload,"Select when the question or issue is about uploading CSV files into Sigma (e.g., upload failures, limits, mapping columns, or refresh behavior)."
Custom Plugins,"Select when the question or issue concerns custom plugin functionality (e.g., custom visualizations, extensions, or plugin configuration and usage)."
Data Modeling,"Select when the question or issue is about defining data models or datasets (e.g., relationships, calculated columns, modeling strategy, or semantic layers)."
Data Privacy/Security,"Select when the question or issue involves protecting data (e.g., access controls, sensitive data handling, masking, or compliance-related concerns)."
Data Source Swap,"Select when the question or issue concerns switching a workbook, dataset, or element from one data source to another (e.g., swapping tables or connections)."
Download Data/PDF/PNG,"Select when the question or issue involves downloading or exporting data or visuals as files (e.g., CSV data exports, PDF dashboards, PNG images)."
Drill Down,"Select when the question or issue involves drilling into details from aggregated results (e.g., click-to-drill, drill paths, or underlying data exploration)."
Element Move/Copy,"Select when the question or issue is about moving or copying workbook elements (e.g., charts, tables, controls) between pages, workbooks, or containers."
Embedding - Basics,"Select when the question or issue concerns foundational aspects of embedding Sigma content (e.g., getting started, embedding setup, or basic configuration)."
Embedding - Display,"Select when the question or issue involves how embedded Sigma content looks and behaves in host applications (e.g., sizing, responsiveness, or visual layout)."
Embedding - Exports,"Select when the question or issue concerns exporting from embedded content (e.g., allowing downloads/exports from embedded views or controlling export options)."
Embedding - Navigation,"Select when the question or issue is about navigating within embedded Sigma content (e.g., page navigation, drill paths, or embedded-level controls)."
Export - Cloud,"Select when the question or issue involves exporting Sigma content to cloud destinations (e.g., cloud storage or similar services via native integrations)."
Export - Layout,"Select when the question or issue relates to the layout or formatting of exported outputs (e.g., pagination, scaling, or how dashboards appear in exports)."
Formatting - Conditional,"Select when the question or issue is about conditional formatting (e.g., rules that color or style cells, rows, or chart elements based on values)."
Formatting - Number,"Select when the question or issue involves numeric formatting (e.g., decimals, currency, percentages, abbreviations, or custom number formats)."
Formatting - Text,"Select when the question or issue is about text formatting (e.g., fonts, alignment, wrapping, colors, or text styles within Sigma)."
Formulas - Lookups/Rollups,"Select when the question or issue involves lookup or rollup formulas (e.g., referencing related rows, aggregating across groups, or lookup-style calculations)."
Formulas - Period Analysis,"Select when the question or issue concerns time-based or period-over-period calculations (e.g., YoY, QoQ, MoM comparisons or time offsets)."
Input Tables,"Select when the question or issue is about Input Tables (e.g., entering/editing manual data, configuration, or syncing and usage patterns)."
Integrations - Slack,"Select when the question or issue concerns Sigma’s Slack integration (e.g., alerts, notifications, or sending content to Slack)."
Integrations - dbt,"Select when the question or issue involves Sigma’s dbt integration (e.g., syncing models, metadata, tags, or using dbt semantics in Sigma)."
Joins,"Select when the question or issue is about joining data sources or tables (e.g., join types, join logic, mismatched results, or performance related to joins)."
Lineage,"Select when the question or issue concerns data lineage (e.g., tracing where data comes from, dependency graphs, or impact analysis of changes)."
Live Edit,"Select when the question or issue involves real-time collaboration or simultaneous editing (e.g., multiple users editing a workbook at once, conflicts, or presence)."
Materialization - Dataset,"Select when the question or issue is about materializing datasets (e.g., scheduling, storage, refresh behavior, or performance of materialized datasets)."
Materialization - Workbook,"Select when the question or issue concerns materializing workbooks (e.g., caching or persisting workbook queries, schedules, or performance impacts)."
Miscellaneous,"Select when the question or issue does not clearly align with any other product category but still relates to Sigma functionality."
Missing Category,"Select when the appropriate product category does not exist yet or cannot be determined from the conversation."
Page Create/Move/Copy,"Select when the question or issue is about creating, moving, or copying pages within a workbook (e.g., page organization or duplication)."
Performance - Frontend,"Select when the question or issue involves UI or browser-level performance (e.g., slow rendering, laggy interactions, or heavy visual elements)."
Performance - Warehouse,"Select when the question or issue relates to data warehouse performance (e.g., slow queries, warehouse sizing, query optimization, or warehouse costs)."
Public API,"Select when the question or issue concerns Sigma’s public APIs (e.g., endpoints, authentication, rate limits, or programmatic workflows)."
Result Correctness,"Select when the question or issue is about whether Sigma’s results are correct (e.g., unexpected values, mismatches vs. source-of-truth, or data discrepancies)."
Row Level Security (RLS),"Select when the question or issue involves row-level security rules (e.g., configuring RLS, troubleshooting visibility, or scoping data per user)."
Search/Navigation,"Select when the question or issue concerns finding content or moving around Sigma (e.g., global search, browsing workspaces, or navigating UI sections)."
Sharing,"Select when the question or issue is about sharing content (e.g., share permissions, links, access levels, or collaboration settings)."
Tables,"Select when the question or issue relates to standard table elements and behaviors (e.g., basic table setup, viewing, or interaction not specific to pivots)."
Tables - Pivot,"Select when the question or issue involves Pivot Tables (e.g., pivoting dimensions, aggregations, or configuring pivot views)."
Teams,"Select when the question or issue concerns Teams in Sigma (e.g., creating teams, managing membership, or assigning access via teams)."
Timezone,"Select when the question or issue involves time zone handling (e.g., displaying timestamps, conversions, or mismatches between systems)."
Unions,"Select when the question or issue is about unioning data (e.g., stacking datasets, union logic, or schema alignment across sources)."
User - Account Types,"Select when the question or issue concerns user account types or roles (e.g., Creator vs Viewer, license levels, or capabilities per account type)."
User - Invite,"Select when the question or issue is about inviting new users (e.g., invite flows, email delivery, or access given at invite)."
User - Permissions,"Select when the question or issue involves user or group permissions (e.g., who can view/edit/run content or manage settings)."
User Attributes,"Select when the question or issue is about user attributes (e.g., defining, managing, or using attributes for security and personalization)."
Version Tagging,"Select when the question or issue involves tagging versions or releases (e.g., labeling content or tracking versions in Sigma)."
White Labeling,"Select when the question or issue concerns white-label or branding customization (e.g., logos, colors, or hiding Sigma branding)."
Workbook - Layout,"Select when the question or issue involves how a workbook is structured visually (e.g., arrangement of elements, page structure, or responsiveness)."
Workbook - Customization,"Select when the question or issue is about customizing workbook appearance or behavior (e.g., themes, styles, interactions beyond basic layout)."
Workbook Templates,"Select when the question or issue concerns workbook templates (e.g., creating, managing, or using templates for repeated patterns)."
Workbook - Themes,"Select when the question or issue involves themes at the workbook level (e.g., color palettes, fonts, or global styling settings)."
Workspaces/Folders,"Select when the question or issue is about organizing content via workspaces or folders (e.g., hierarchy, access, or moving items)."
UI Elements,"Select when the question or issue involves general UI components (e.g., buttons, icons, menus, panels) not covered by more specific categories."
Integrations - Atlan,"Select when the question or issue concerns the Atlan integration (e.g., metadata sync, catalog, or lineage exchanged with Atlan)."
Integrations - Hightouch,"Select when the question or issue concerns the Hightouch integration (e.g., reverse ETL use cases, syncs, or connectivity)."
Chart - General,"Select when the question or issue involves charts overall (e.g., creating charts, choosing chart types, or general chart configuration not tied to a specific sub-feature)."
Version History,"Select when the question or issue is about version history of content (e.g., viewing, comparing, or restoring previous versions of workbooks or datasets)."
Metrics,"Select when the question or issue concerns defined metrics (e.g., creating, managing, or using metrics as reusable calculations or semantic measures)."
Worksheet/Dashboard Conversion,"Select when the question or issue involves converting content between worksheets and dashboards (e.g., migration flows or behavior changes)."
Trashcan/Document Recovery,"Select when the question or issue is about deleted content and recovery (e.g., Trashcan behavior, restoring documents, or retention windows)."
Administration - General,"Select when the question or issue involves general administrative tasks not covered by more specific admin categories (e.g., org-wide settings or governance)."
PrivateLink - AWS,"Select when the question or issue concerns AWS PrivateLink configuration or behavior for Sigma connectivity."
PrivateLink - Azure,"Select when the question or issue concerns Azure Private Link configuration or behavior for Sigma connectivity."
Datasets - Legacy,"Select when the question or issue involves legacy dataset functionality or migration from older dataset models."
Datasets - Data Models,"Select when the question or issue concerns dataset-based data models (e.g., building, organizing, and using datasets as models)."
Administration - Impersonation,"Select when the question or issue involves admin-level impersonation features (e.g., acting as another user for troubleshooting)."
Account - Customer Success / License / Billing,"Select when the question or issue relates to Customer Success, licensing, or billing topics (e.g., seat counts, renewals, or invoices)."
Account - Sales / Marketing,"Select when the question or issue relates to Sales or Marketing aspects of the account (e.g., trials, expansions, or pre-sales support)."
Publishing,"Select when the question or issue involves publishing content (e.g., publish flows, published vs draft states, or sharing published versions)."
Chart - KPI,"Select when the question or issue is specifically about KPI charts (e.g., configuration, targets, or display of KPIs)."
Formulas - Discovery,"Select when the question or issue involves discovering or finding the right formulas (e.g., formula search, suggestions, or learning what functions are available)."
Formulas - Errors,"Select when the question or issue centers on formula errors (e.g., error messages, debugging formulas, or why a formula fails)."
Formulas - Consultation,"Select when the question or issue is about getting advice on which formulas to use or how to design complex calculations (e.g., formula design best practices)."
Embedding - Sandbox,"Select when the question or issue involves the embedding sandbox environment (e.g., testing embedded content, examples, or playground configuration)."
Bookmarks,"Select when the question or issue concerns bookmarks (e.g., saving views, managing bookmarks, or sharing bookmarked states)."
Org-to-Org Sharing,"Select when the question or issue involves sharing content between different Sigma organizations or tenants."
Workbook - Comments,"Select when the question or issue involves comments inside workbooks (e.g., adding, resolving, or managing threaded comments and notifications)."
Dynamic Text,"Select when the question or issue concerns dynamic text elements (e.g., text that references fields, parameters, or context dynamically)."
Custom Homepage,"Select when the question or issue involves configuring or using a custom homepage/landing page in Sigma."
Email - Not Delivered/Bounced,"Select when the question or issue involves emails that are not delivered or bounce (e.g., invite emails, alerts, or export emails failing to arrive)."
Email - Custom SMTP Server,"Select when the question or issue is about configuring or using a custom SMTP server for Sigma emails."
Email - Branding,"Select when the question or issue involves branding of Sigma emails (e.g., logos, colors, or custom email appearance)."
AI - General,"Select when the question or issue concerns Sigma AI features broadly and does not fit into a more specific AI subcategory."
AI - Sentiment Analysis,"Select when the question or issue involves AI-based sentiment analysis features or sentiment detection on content."
AI - Classify Column,"Select when the question or issue involves AI-driven column classification (e.g., categorizing values or assigning labels via AI)."
AI - Fill Column,"Select when the question or issue involves AI features that generate or fill in column values (e.g., auto-fill or smart completion of data)."
Formatting - Date,"Select when the question or issue is about date or time formatting (e.g., date patterns, display formats, or localization of dates)."
Custom Functions,"Select when the question or issue concerns custom functions (e.g., defining, managing, or using user-defined functions in Sigma)."
Sigma - Backend Issue,"Select when the question or issue is due to a Sigma backend/platform problem (e.g., service instability, internal errors, or outages)."
Dataset - Links,"Select when the question or issue involves links between datasets (e.g., dataset relationships or navigational links)."
Column Level Security,"Select when the question or issue concerns column-level security (e.g., restricting or masking specific columns for certain users)."
Compiler,"Select when the question or issue involves Sigma’s query compiler (e.g., generated SQL, compilation errors, or translation of workbooks to warehouse queries)."
Authentication - Oauth,"Select when the question or issue specifically involves OAuth-based authentication (e.g., configuring OAuth providers or troubleshooting OAuth flows)."
Authentication - SCIM,"Select when the question or issue involves SCIM-based provisioning or deprovisioning of users/groups."
Chart - Consultation,"Select when the question or issue is about choosing or designing charts (e.g., best chart type, visualization strategy, or charting best practices)."
Chart - Sorting,"Select when the question or issue concerns how chart data is sorted (e.g., ordering categories, custom sort logic, or unexpected sort behavior)."
Chart - Tooltips,"Select when the question or issue is about chart tooltips (e.g., what appears on hover, formatting, or custom tooltip content)."
Chart - Trellis,"Select when the question or issue involves trellis/small-multiple chart layouts (e.g., configuring panels, facets, or repeated charts by dimension)."
Custom SQL - General,"Select when the question or issue involves general Custom SQL usage (e.g., writing, editing, or running custom queries in Sigma)."
Custom SQL - Parameters,"Select when the question or issue is about using parameters within Custom SQL (e.g., binding parameters, syntax, or behavior)."
Data Discovery,"Select when the question or issue involves discovering or cataloging data assets within Sigma (e.g., finding tables, datasets, or models)."
Data Element Filters,"Select when the question or issue concerns filters applied directly to data elements (e.g., per-element filter behavior, configuration, or limitations)."
Export - Conditional,"Select when the question or issue involves exports that depend on conditions or rules (e.g., only exporting filtered views or conditional export setups)."
Export - Email,"Select when the question or issue concerns exporting content via email (e.g., scheduled reports, emailed dashboards, or export email settings)."
Export - Google Drive,"Select when the question or issue involves exporting to Google Drive (e.g., authentication, file formats, or folder targets)."
Export - PDF,"Select when the question or issue specifically concerns exporting to PDF (e.g., PDF formatting, layout, or failures)."
Export - Sheets,"Select when the question or issue involves exporting to Google Sheets (e.g., permissions, update behavior, or sync issues)."
Export - Slack,"Select when the question or issue concerns exporting or sending Sigma content to Slack (beyond general integration setup)."
Export - Webhooks,"Select when the question or issue involves exports or alerts via webhooks (e.g., configuring endpoints, payloads, or failures)."
Guest Users,"Select when the question or issue is about guest user access (e.g., limited-access users, external collaborators, or restrictions for guest accounts)."
Linked Input Tables,"Select when the question or issue concerns linked input tables (e.g., relationships between input tables and other elements, or reuse across workbooks)."
Page Controls - Filters,"Select when the question or issue involves page-level filter controls (e.g., adding, configuring, or troubleshooting page filters)."
Page Controls - Parameters,"Select when the question or issue involves page-level parameter controls (e.g., parameter selectors, default values, or wiring parameters to elements)."
Performance - Browser Compute,"Select when the question or issue concerns computation or heavy processing done in the browser (e.g., client-side calculations impacting performance)."
Recommendations,"Select when the question or issue is about recommendation features (e.g., suggested content, data, or AI-driven recommendations)."
Snowpark - Python,"Select when the question or issue involves Snowpark for Python usage through Sigma (e.g., configuration, execution, or performance)."
Tables - Pivot Formatting,"Select when the question or issue concerns formatting specifically within Pivot Tables (e.g., styles, colors, or number formats in pivots)."
Tables - Pivot Groupings,"Select when the question or issue is about groupings within Pivot Tables (e.g., row/column group configuration or grouping behavior)."
Tables - Pivot Sorting,"Select when the question or issue involves sorting behavior within Pivot Tables."
Team Admin,"Select when the question or issue involves administering Teams (e.g., team-level settings, ownership, or large-scale team management)."
Warehouse Views - Datasets,"Select when the question or issue concerns warehouse views for datasets (e.g., views created or managed in the warehouse for dataset access)."
Warehouse Views - Workbooks,"Select when the question or issue concerns warehouse views for workbooks (e.g., generating or managing views that represent workbook logic)."
Workbook Actions,"Select when the question or issue involves workbook-level actions (e.g., action buttons, triggers, or interactive workflows attached to workbooks)."
Chart - Paintbrush Menu,"Select when the question or issue is about the chart paintbrush menu (e.g., quick styling options or interactions from that menu)."
Chart - Color,"Select when the question or issue involves chart color settings (e.g., palettes, custom colors, or color-by rules)."
Tables - Formatting,"Select when the question or issue involves table formatting in general (e.g., fonts, colors, cell styles, or borders for standard tables)."
Tables - Groupings,"Select when the question or issue is about grouping rows in tables (e.g., group-by behavior, expand/collapse groups, or subtotals)."
Chart - Groupings,"Select when the question or issue involves grouping within charts (e.g., grouped bars, stacked vs grouped choices, or grouped dimensions)."
Period-over-period comparison,"Select when the question or issue is specifically about period-over-period comparison features or calculations."
Tables - Pivot Totals,"Select when the question or issue involves totals/subtotals within Pivot Tables (e.g., grand totals, subtotals, or total placement)."
Chart - Labels,"Select when the question or issue involves chart labels (e.g., data labels, axis labels, or label formatting and placement)."
Python - Sigma,"Select when the question or issue concerns Python usage within or via Sigma (e.g., Python integrations, execution, or configuration)."
Page Level Visibility,"Select when the question or issue involves controlling which users can see specific pages (e.g., page-level permissions or visibility rules)."
Table Styles,"Select when the question or issue concerns predefined or custom table styles (e.g., style presets, theming, or applying styles across tables)."
Export - Excel,"Select when the question or issue is specifically about exporting to Excel (e.g., .xlsx output, formatting, or Excel-specific behavior)."
Analyst Workflows,"Select when the question or issue involves end-to-end analyst workflows (e.g., recommended ways to build analyses, modeling-to-dashboard flows, or productivity patterns)."
Tables - Sorting,"Select when the question or issue concerns sorting rows in standard tables (e.g., sort order, multi-column sorting, or unexpected sorts)."
Workbook - Containers,"Select when the question or issue involves containers within workbooks (e.g., layout containers, nesting, or container behavior)."
Modals/Overlays,"Select when the question or issue concerns modal dialogs or overlay components in the UI (e.g., dialogs not closing, overlay behavior, or accessibility)."
AI - Ask Sigma,"Select when the question or issue involves the Ask Sigma AI experience (e.g., natural-language questions, answer quality, or behavior of Ask Sigma)."
AI - Formula Assistant,"Select when the question or issue involves AI-powered formula assistance (e.g., suggested formulas, auto-generation, or formula help from AI)."
Data Models - Relationships,"Select when the question or issue specifically concerns relationships within data models (e.g., joins/links defined at the model level)."
RADAR Unspecified,"Select when the question or issue is related to RADAR but no more precise RADAR category applies or is known."
Embedding - JWT,"Select when the question or issue involves JWT-based embedding (e.g., token generation, claims, or security concerns for JWT embedding)."
Embedding - Secure,"Select when the question or issue involves secure embedding patterns (e.g., row-level security in embeds, authenticated embeds, or secure access models)."
Embedding - Public,"Select when the question or issue concerns public embedding (e.g., publicly accessible dashboards or content without authentication)."
Export - CSV,"Select when the question or issue specifically involves exporting to CSV files."
Report Builder,"Select when the question or issue involves the Report Builder experience (e.g., building, scheduling, or managing reports)."
Semantic Views,"Select when the question or issue concerns semantic views or layers (e.g., curated semantic representations of data used across Sigma)."
